Coluna VE;Coluna ERP;Exemplo;Comentários
REFERENCIA_INTEGRACAO;CAB_COD_ENCOM;A1-32;
CODIGO;CODIGO_INTERNO_SVE;121;
DATA;CAB_DATA_ENCOM;2019-01-31 11:34:17;
TEXTOS.OBSERVACAO;CAB_OBS;Observação do atendimento;
TEXTOS.OBSERVACAO_ENTREGA;CAB_OBS_ENTREGA;Observação da entrega;
CLIENTE.REFERENCIA_INTEGRACAO;CAB_CLIENTE;A32;
DATA_ENTREGA;CAB_DAT_ENCOM_ENTREGA;2019-02-02 10:00:00;
TOTAL_ACRESCIMO_VALOR;CAB_VLR_ACRESC;10.00;
TOTAL_ACRESCIMO_PERCENTUAL;CAB_PCT_ACRESC;10.00;
TOTAL_DESCONTO_PERCENTUAL;CAB_PCT_DESCTO;10.00;
TOTAL_DESCONTO_VALOR;CAB_VLR_DESCTO;10.00;
TOTAL_PRODUTOS;CAB_TOT_PROD;80.00;
TOTAL_PAGO;CAB_TOT_PG;95.00;
TROCO;CAB_TOT_TROCO;0.00;
TOTAL;CAB_TOT;95.00;
PESO_TOTAL;CAB_PESO_TOT;1000;
INTERMEDIARIO.REFERENCIA_INTEGRACAO;CAB_INTERMD;ITER12;
TRANSPORTADORA.REFERENCIA_INTEGRACAO;CAB_TRANSPORT;T5;
REFERENCIA;CAB_REF;REF-A32;
SITUACAO;CAB_STATUS;2;1 – Aberto, 2 – Fechado, 3 – Cancelado, 4 - Finalizado
MOTIVO_CANCELAMENTO;CAB_MOTIVO_CANCLMTO;Cancelado por desistência;
FRETE_MODALIDADE;CAB_MOD_FRETE;0;0 - Contratação do Frete por conta do Remetente (CIF), 1 - Contratação do Frete por conta do destinatário/remetente (FOB). 2 - Contratação do Frete por conta de terceiros, 3 - Transporte próprio por conta do remetente, 4 - Transporte próprio por conta do destinatário, 9 – Sem frete
FRETE_VALOR;CAB_VLR_FRETE;15.00;
ITENS.PRODUTO.REFERENCIA_INTEGRACAO;ITE_PRODUTO;P1;
ITENS.DESCONTO_PERCENTUAL;ITE_PERC_DESCTO;0.00;
ITENS.DESCONTO_VALOR;ITE_VLR_DESCTO;0.00;
ITENS.ACRESCIMO_PERCENTUAL;ITE_PERC_ACRSMO;0.00;
ITENS.ACRESCIMO_VALOR;ITE_VLR_ACRSMO;0.00;
ITENS.QUANTIDADE;ITE_QTDADE_ATENDIDA;5;
ITENS.QUANTIDADE_RESERVA;ITE_QTD_RESERVA;0;
ITENS.VALOR_TOTAL;ITE_VLR_TOTAL;250.00;
ITENS.VALOR_UNITARIO;ITE_PRECO_UNITARIO;50.00;
ITENS.ITEM;ITE_SEQUENCIA;1;
ITENS.RESERVAR;ITE_IND_RESERVA;N;S ou N
ITENS.PESO;ITE_PESO;100;
ITENS.OBSERVACAO;ITE_OBS;Obs do item;
ITENS.UNIDADE.NOME;ITE_UNIDADE;Alkord Sistemas LTDA;
VENDEDOR.REFERENCIA_INTEGRACAO;CAB_RESPONSAVEL;V012;
VENDEDOR.NOME;CAB_VENDEDOR_SVE;12;
PAGAMENTOS.MEIO_PAGAMENTO.NOME;CAB_MEIO_PAGAMENTO;Dinheiro;
PAGAMENTOS.CONDICAO_PAGAMENTO.NOME;CAB_CONDICAO_PAGAMENTO;À vista;
PAGAMENTOS.VALOR;CAB_PGTO_VALOR;95.00;
PAGAMENTOS.UNIDADE.NOME;PGTO_UNIDADE;Alkord Sistemas LTDA;
TIPO_ATENDIMENTO.DESCRICAO;CAB_TIPO_ATENDIMENTO;Pedido;
ENCOMENDA.AVISO ;CAB_DATA_AVISO_ENCOM;2019-01-31 11:34:17;
ENCOMENDA.AVISO_DESCRICAO ;CAB_AVISO_ENCOM;Descrição do aviso;
ENCOMENDA.REAVISO ;CAB_REAVISO_DATA_ENCOM;2019-01-31 11:34:17;
ENCOMENDA.REAVISO_DESCRICAO ;CAB_REAVISO_ENCOM;Descrição do reaviso;
FORMA_ENTREGA.DESCRICAO;CAB_FORMA_ENTREGA;Transportadora Ltda;
UNIDADE.NOME;CAB_UNIDADE;Alkord Sistemas LTDA;
