Coluna VE;Coluna ERP;Exemplo;Comentários
REFERENCIA_INTEGRACAO;COD_CLIENTE;C1008775;
TIPO_PESSOA;TIPO_CLIENTE;J;F – Física, J – Jurídica
NOME;NOME;DAUERTEC LTDA;
DOCUMENTO;DOCUMENTO;00.521.123/0001-78;
EMAILS.EMAIL;INTERNET;dauertec@edf.etc.br;
TELEFONES.TELEFONE;FONE;(47)39877123;Também será aceito no formato +55(47)999112032
TELEFONES.TIPO;FONE_TIPO;C;C – Comercial, R – Residencial, L – Celular, X – FAX
SEXO;SEXO;M;M – Masculino, F – Feminino
NASCIMENTO_CONSTITUICAO;DATA_NASC;2013-06-12;
DOCUMENTO2;DOCUMENTO2;253071658;
APELIDO;APELIDO;DAUERTEC;
INTERNET;DSC_URL_SITE;www.alkord.com.br;
RAMOS_ATIVIDADE.RAMO_ATIVIDADE.NOME;RAMO_ATIVIDADE;NAO CONSTA;
REGIAO.NOME;COD_REGIAO;BAIXADA;
ENDERECOS.TIPO;ENDERECO_COMERCIAL_TIPO;C;R – Residencial, C – Comercial, E – Entrega, B – Cobrança
ENDERECOS.BAIRRO;ENDERECO_COMERCIAL_BAIRRO;CENTRO;
ENDERECOS.CEP;ENDERECO_COMERCIAL_CEP;88330-355;
ENDERECOS.CIDADE.NOME;ENDERECO_COMERCIAL_CIDADE;Balneário Camboriú;
ENDERECOS.ENDERECO;ENDERECO_COMERCIAL_ENDERECO;3300;
ENDERECOS.ESTADO.SIGLA;ENDERECO_COMERCIAL_ESTADO;SC;
ENDERECOS.PAIS.NOME;ENDERECO_COMERCIAL_PAIS;Brasil;
ENDERECOS.NUMERO;ENDERECO_COMERCIAL_NUMERO;360;
ENDERECOS.COMPLEMENTO;ENDERECO_COMERCIAL_COMPLEM;Sala 506;
SITUACAO;SITUACAO;A;A – Ativo, P – Prospectivo, I – Inativo
COMERCIAL_VENDA.REPRESENTANTE.NOME;COD_DIVULGADOR;Vendedor Wilson;
COMERCIAL_VENDA.TRANSPORTADORA.NOME;COD_TRANSPORTE;Transportadora Ltda;
EXCLUIDO;EXCLUIDO;N;S ou N
FISCAL.SIMPLES_NACIONAL;IND_SIMPLES_FEDERAL;S;S ou N
FISCAL.ICMS_NAO_CONTRIBUINTE;NAO_CONTRIBUINTE;N;S ou N
FISCAL.ICMS_ST_REGIME_ESPECIAL;IND_ST_REGIME_ESPECIAL;N;S ou N
FISCAL.ICMS_GERAR_CREDITO;ICMS_GERAR_CREDITO;N;S ou N
FISCAL.CONSUMIDOR_FINAL;CONSUMIDOR_FINAL;N;S ou N
FISCAL.REGIME_TRIBUTARIO;REGIME_TRUBITACAO;3;1 – MEI, 2 – Simples nacional, 3- Lucro presumido, 4 – Lucro real, 5 – Lucro arbitrado
